ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
1,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
2,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
3,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
4,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
5,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
6,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
7,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
8,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
9,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
10,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
11,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
12,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
13,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
14,M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
15,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
16,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
17,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
18,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
19,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
20,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
21,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
22,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
23,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
24,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
25,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
26,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
27,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
28,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
29,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
30,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
31,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
32,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
33,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
34,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
35,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
36,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
37,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
38,M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
39,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
40,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
41,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
42,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
43,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
44,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
45,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
46,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
47,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
48,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
49,M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
50,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
51,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
52,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
53,M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
54,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
55,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
56,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
57,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
58,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
59,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
60,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
61,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
62,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14
63,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
64,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
65,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
66,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
67,M,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
68,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
69,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
70,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
71,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
72,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
73,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
74,M,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12
75,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
76,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
77,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
78,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
79,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
80,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
81,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
82,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
83,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
84,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
85,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
86,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
87,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
88,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
89,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
90,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
91,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
92,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
93,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
94,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
95,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
96,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
97,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
98,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
99,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
100,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
101,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
102,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
103,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
104,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
105,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
106,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
107,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
108,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
109,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
110,M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11
111,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
112,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
113,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
114,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
115,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
116,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
117,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
118,M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8
119,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
120,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
121,M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
122,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
123,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
124,M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
125,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
126,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
127,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
128,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
129,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
130,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
131,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
132,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
133,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
134,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
135,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
136,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
137,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
138,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
139,M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
140,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
141,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
142,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
143,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
144,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
145,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
146,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
147,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
148,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
149,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
150,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
151,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
152,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
153,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
154,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
155,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
156,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
157,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
158,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
159,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
160,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
161,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
162,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
163,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
164,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
165,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
166,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
167,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
168,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
169,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
170,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
171,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
172,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
173,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
174,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
175,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
176,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
177,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
178,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
179,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
180,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
181,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
182,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
183,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
184,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
185,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
186,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
187,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
188,M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10
189,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
190,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
191,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
192,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
193,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
194,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
195,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
196,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
197,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
198,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
199,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
200,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
201,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
202,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
203,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
204,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
205,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
206,M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,9
207,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
208,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
209,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
210,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
211,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
212,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
213,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
214,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
215,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
216,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
217,M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12
218,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
219,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
220,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
221,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
222,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
223,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
224,M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
225,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
226,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
227,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
228,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
229,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
230,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
231,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
232,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
233,M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
234,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
235,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
236,M,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
237,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
238,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
239,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
240,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
241,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
242,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
243,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10
244,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
245,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
246,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
247,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
248,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
249,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
250,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
251,M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
252,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
253,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
254,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
255,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
256,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
257,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
258,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
259,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
260,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
261,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
262,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
263,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
264,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
265,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
266,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
267,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
268,M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16
269,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
270,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
271,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
272,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
273,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
274,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
275,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
276,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
277,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
278,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
279,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
280,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
281,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
282,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
283,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
284,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
285,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
286,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
287,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
288,M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
289,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
290,M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
291,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
292,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
293,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
294,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
295,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
296,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
297,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
298,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
299,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
300,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
301,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
302,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
303,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
304,M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12
305,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
306,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
307,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
308,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
309,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
310,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
311,M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
312,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
313,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
314,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
315,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
316,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
317,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
318,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
319,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
320,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
321,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
322,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
323,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
324,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
325,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
326,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
327,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
328,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
329,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
330,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
331,M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8
332,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
333,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
334,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
335,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
336,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
337,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
338,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
339,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
340,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
341,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
342,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
343,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
344,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
345,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
346,M,0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,11
347,M,0.49,0.395,0.14,0.549,0.549,0.1275,0.15,11
348,M,0.445,0.35,0.14,0.5905,0.5905,0.158,0.19,14
